,dataset_id,filename,year,layer,xlnet_corr,xlnet_pvalue,roberta_corr,roberta_pvalue,xlm_corr,xlm_pvalue
135,MSRpar_2012test,MSRpar,2012test,10,0.09766696858946666,0.0,0.008373732622199691,1.0754885175964245e-20,0.01977887594232116,1.3705227541691007e-107
136,MSRpar_2012train,MSRpar,2012train,10,0.09855864069773705,0.0,0.010263751499312796,2.6953668086394423e-30,0.009111597643932198,3.1748501279454025e-24
137,MSRvid_2012test,MSRvid,2012test,10,0.15904392173741264,0.0,0.026367639724067304,1.8754753174176938e-190,0.0003022341042810763,0.735807780181345
138,MSRvid_2012train,MSRvid,2012train,10,0.157647131723783,0.0,0.05392771409240225,0.0,0.001391255521954597,0.12007149079446032
139,answer-answer_2016,answer-answer,2016,10,0.11180790670051452,0.0,0.05304089000271255,9.31316264340476e-77,0.02247775673529105,3.899266556761361e-15
140,answers-forums_2015,answers-forums,2015,10,0.04405826442939031,2.4639461950442114e-128,0.004984346342733724,0.0064006148910852574,0.008452064330420351,3.774670654092653e-06
141,deft-forum_2014,deft-forum,2014,10,0.05116732565267135,4.4421630946854e-250,-0.014954163176314175,5.540216913438554e-23,0.01478073080465927,1.7236531903938304e-22
142,deft-news_2014,deft-news,2014,10,0.1621221609754971,0.0,-0.022197545897524023,2.7119987477902157e-22,-0.02065296470375865,1.6386845808936946e-19
143,headlines_2013,headlines,2013,10,0.0565991886888591,0.0,0.022446526249820145,2.39876766432737e-134,0.0015940287415244876,0.07981889186881005
144,headlines_2014,headlines,2014,10,0.03645717851477211,0.0,-0.006131536454814968,1.7075588810464637e-11,-0.013156890105367964,2.938526917331681e-47
145,headlines_2015,headlines,2015,10,0.08413184412699157,0.0,0.0268318549489613,9.931057704882323e-192,0.0028920791266177906,0.001454820326660554
146,headlines_2016,headlines,2016,10,0.07308226362863864,6.477134630728247e-138,0.05268960840905652,1.2995469420128796e-72,-0.00504881118207037,0.08417858428773982
147,images_2014,images,2014,10,0.13671607222044324,0.0,-0.035929340086343985,0.0,0.002308947171918987,0.0111289418754815
148,images_2015,images,2015,10,0.12266435402805273,0.0,0.022022258769759433,4.781928492862405e-130,0.0007335056304356609,0.4190040773910192
149,track5.en-en_2017,track5.en-en,2017,10,0.08681924960255108,4.618765847854148e-221,0.03243341468861923,1.989624034963916e-32,-0.01017230699442795,0.00020028689858649602
150,MSRpar_2012test,MSRpar,2012test,11,0.044883279687753824,0.0,0.05367843557973647,0.0,0.014298493713513778,4.017954228240292e-57
151,MSRpar_2012train,MSRpar,2012train,11,0.04433777054422698,0.0,0.07493399387651241,0.0,0.0076159266293776805,2.1137621394344502e-17
152,MSRvid_2012test,MSRvid,2012test,11,0.12865444276894777,0.0,0.05953482602311897,0.0,-0.001271509298091073,0.1557544975090801
153,MSRvid_2012train,MSRvid,2012train,11,0.12985604278141621,0.0,0.07894088299828818,0.0,0.0028911962216500767,0.00123624492869154
154,answer-answer_2016,answer-answer,2016,11,0.0739410004544552,2.468099162307182e-147,0.052604507425376465,1.5709594032642374e-75,0.017085244937521556,2.3303500997423903e-09
155,answers-forums_2015,answers-forums,2015,11,0.046042166794667924,5.728191492685328e-140,0.02715401865241159,6.583673064356359e-50,0.008031372326320549,1.1164646675052429e-05
156,deft-forum_2014,deft-forum,2014,11,0.04730370413990657,4.791069739278085e-214,0.02531827679405552,1.0573186491968822e-62,0.009000092833649819,2.832225990793564e-09
157,deft-news_2014,deft-news,2014,11,0.1672356761993654,0.0,0.021981890741052567,6.813773894526379e-22,-0.021996102155253574,6.4141557035433e-22
158,headlines_2013,headlines,2013,11,0.04529464858521454,0.0,0.016024533611553093,2.0659098427624176e-69,-0.0013593784406838439,0.13520911253444637
159,headlines_2014,headlines,2014,11,0.03811775688741437,0.0,-0.0008011010890570044,0.3793091967633626,-0.012728575048754746,2.409944740583209e-44
160,headlines_2015,headlines,2015,11,0.0790384684377183,0.0,0.04095213700399285,0.0,0.005802350621333102,1.6903715831372073e-10
161,headlines_2016,headlines,2016,11,0.061628264202511995,1.2172676529307516e-98,0.0037076970993709184,0.2047219334009447,-0.003964609978565582,0.17507065968711366
162,images_2014,images,2014,11,0.12791071474522983,0.0,0.026431910201675225,1.1123000458292062e-185,0.001900007670922472,0.036707174897347594
163,images_2015,images,2015,11,0.11777216916294787,0.0,0.05914412003413556,0.0,-0.0012020747153155217,0.18536925813268224
164,track5.en-en_2017,track5.en-en,2017,11,0.07269564747994303,1.3175560701677303e-155,0.061573455360654,3.3737331606145918e-112,-0.013617082149493646,6.426170403391187e-07
165,MSRpar_2012test,MSRpar,2012test,12,0.07401187711724841,0.0,0.04277973590829033,0.0,0.01688197632593184,6.679077180003227e-79
166,MSRpar_2012train,MSRpar,2012train,12,0.07575403749007593,0.0,0.057534260406616286,0.0,0.01768787898083007,1.708486889680953e-86
167,MSRvid_2012test,MSRvid,2012test,12,0.10018054782350477,0.0,0.01853911312395187,3.700189485018696e-95,0.0019132924273487727,0.032681538621541835
168,MSRvid_2012train,MSRvid,2012train,12,0.10095613306701312,0.0,0.056027421937058924,0.0,0.00868311971329314,2.962310833584192e-22
169,answer-answer_2016,answer-answer,2016,12,0.061432448493424024,2.5817143996220538e-102,0.008932466337747568,0.0017916931048518755,0.029587348126671475,4.473764124675745e-25
170,answers-forums_2015,answers-forums,2015,12,0.030422648374716577,3.476649856181265e-62,-0.0022461614500464437,0.21918905506186115,0.014626252910831347,1.236119825510792e-15
171,deft-forum_2014,deft-forum,2014,12,0.04225259139257018,3.4022865420515293e-171,-0.004884917112351891,0.0012615956968203394,0.00911690941720333,1.7642186773107205e-09
172,deft-news_2014,deft-news,2014,12,0.11719791999959565,0.0,-0.04532336487890216,1.71736462157788e-87,0.0009240116956130329,0.686044295004029
173,headlines_2013,headlines,2013,12,0.03405870016534275,1.3502061048536554e-306,-0.012753928583012206,1.2483747877784e-44,-0.004533882641427704,6.278311364309554e-07
174,headlines_2014,headlines,2014,12,0.037772643124685285,0.0,-0.034678682386826185,0.0,-0.012554379557679492,3.465494143869485e-43
175,headlines_2015,headlines,2015,12,0.050809784141328224,0.0,0.002009180782595403,0.026989507087340398,0.012774411288697189,6.517059647436734e-45
176,headlines_2016,headlines,2016,12,0.039413873671969135,2.0107855305806477e-41,0.003058702210570228,0.295457139863779,-0.00022404636481794873,0.9389141033044145
177,images_2014,images,2014,12,0.07204842862154627,0.0,-0.06511182364312561,0.0,-0.0070931307055209425,6.2547269062853206e-15
178,images_2015,images,2015,12,0.0854393275260383,0.0,0.01717530075256059,7.355071264040811e-80,0.004184015792505184,4.0305846122239586e-06
179,track5.en-en_2017,track5.en-en,2017,12,0.03358744674779849,1.1825024866278748e-34,0.021073466707418942,1.3212732799321903e-14,-0.005067221779564266,0.06396749111883739
