,model,layer,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_relation_group_rdm_corr_within_compound_sentences,same_relation_group_rdm_std_within_compound_sentences,same_head_rdm_corr,same_head_rdm_std,same_head_rdm_corr_within_compound_sentences,same_head_rdm_std_within_compound_sentences,same_modifier_rdm_corr,same_modifier_rdm_std,same_modifier_rdm_corr_within_compound_sentences,same_modifier_rdm_std_within_compound_sentences
66,roberta-base,3,0.29637896291055843,0.1114176145013881,0.12316488448033401,0.19158932719895316,0.4825355694655251,0.11443388598226481,0.5471761434860726,0.1561734776616361,0.32383937811534025,0.12342097121740474,0.20092517722678876,0.16963553134293552
67,roberta-base,4,0.3190919726216938,0.1256529423825208,0.14273081323950682,0.20411994510342704,0.4920605597673328,0.11231049101912309,0.5806527509301866,0.13891511542029283,0.28297069707535916,0.12099030259044442,0.12486960501255316,0.17924472148262305
68,roberta-base,5,0.33308875850722114,0.1271400117139868,0.17677669529663692,0.2154643755225944,0.4762319961098514,0.11099727407145427,0.5719780836150885,0.1388468999824412,0.28747433026104596,0.12020201701134828,0.13029127208448946,0.1720945236158467
69,roberta-base,6,0.32920072508838066,0.13323025798794305,0.19903746433399122,0.2036026685464408,0.45755452892707993,0.12210689462567285,0.5622190828856032,0.15672351501448456,0.28746451326864797,0.12017896886141338,0.13137560549887675,0.18474298105821144
70,roberta-base,7,0.32122107341864153,0.13611009226113013,0.17816207857262106,0.20329227349347254,0.4691495766116485,0.12507770389794118,0.5753688122601414,0.1433109607310482,0.280388904454776,0.1229551836411012,0.11092550383264627,0.19074621659472824
71,roberta-base,8,0.324956995859299,0.13892318098471992,0.1833999065814103,0.21015817675612208,0.459580914348161,0.14127280795763275,0.5818748127464649,0.151745314797102,0.26677082609672415,0.1261449705819152,0.07839550140102851,0.17798464645846995
72,roberta-base,9,0.3151386106742525,0.1415732899102264,0.16761049628125577,0.2187067613547352,0.45744881775982676,0.13900599049931267,0.5914960850740593,0.15010319919081405,0.26849093262062124,0.13065532882752798,0.0717372677075775,0.18238060079146629
73,roberta-base,10,0.30864400925762236,0.14410526264792844,0.15320646925708528,0.22517711364676493,0.4730374055836235,0.14708620234736178,0.5925804184884466,0.16355330076754504,0.2500566316627666,0.13806970193779972,0.0433923657263813,0.19810883411712604
74,roberta-base,11,0.2964108680027858,0.13731372096334632,0.12047004420215254,0.21776391994206076,0.532453426790264,0.12632755178985283,0.6207730872625151,0.12634684583841885,0.24726180196843434,0.13254920333558884,0.010862363294763526,0.18389195041236678
75,roberta-base,12,0.2766357003463976,0.12403321259353468,0.09820927516479827,0.20619270622106264,0.5213884803538141,0.12712066771370806,0.6327007548207751,0.11709363291992303,0.231161908864831,0.12797325190695555,0.020773597231376315,0.18020746732205048
76,bert-base-japanese,1,0.256011503976501,0.0981134635344313,0.023570226039551587,0.171113516096615,0.4498713990124707,0.1271072530190559,0.39269764960841447,0.23015769680429665,0.38264986997623046,0.12566832253837815,0.3810006406186376,0.23922433524056846
77,bert-base-japanese,2,0.25585177376026347,0.09831262403319546,0.03531737592243394,0.19587697225384432,0.4418452434503977,0.1299302568553027,0.3829386488789292,0.22634007883899512,0.3761496180616705,0.12853742018943248,0.3842536408617993,0.23396348049974686
78,bert-base-japanese,3,0.2546536977939089,0.09949472154480969,0.03527941278554052,0.20060028812803682,0.4416767746561129,0.13336087598283164,0.3926976496084145,0.22831120110870098,0.3723923443625876,0.13473186339113513,0.36907297306037756,0.23608048240355242
79,bert-base-japanese,4,0.2477912317757512,0.09706743787179628,0.04575506880311901,0.20359076455254563,0.42394762801235103,0.13344623184930068,0.39052898277964004,0.2292481644396072,0.367764236267817,0.1341500712383712,0.3669043062316032,0.24554642462717563
80,bert-base-japanese,5,0.2460576542386126,0.09897815748565489,0.0313510417789486,0.2148503222173761,0.41300715588159054,0.13385833810820552,0.3872759825364783,0.22768348804517724,0.37021249164241793,0.1340402318628462,0.3679886396459905,0.2467936636428187
81,bert-base-japanese,6,0.2459631766402423,0.09892204639546374,0.03135104177894859,0.2030329760210692,0.4096563398638372,0.1346261104286753,0.38510731570770385,0.22546404758255942,0.3674442738817897,0.13239006928474903,0.3701573064747649,0.24032122579456733
82,bert-base-japanese,7,0.24472909292943293,0.09903649691409323,0.03658886978773782,0.2159348250113478,0.4073966636378838,0.13801489743824502,0.40354098375228714,0.2191052582061074,0.36109166769449275,0.13357781576904915,0.3517236384301816,0.23507176805752092
83,bert-base-japanese,8,0.23890974314362515,0.09459160576574119,0.03793628992682856,0.21350257753801202,0.40068837842988997,0.13839918974875,0.39595064985157635,0.2257686120479401,0.3581305248455872,0.13407140474514753,0.3614826391596669,0.23913896471153537
84,bert-base-japanese,9,0.23381779971576166,0.09163322685962069,0.051068823085695096,0.20728749840712726,0.39655954202268534,0.13687669743038,0.4284806522831941,0.21908334281966285,0.3493635434988565,0.1410634484083054,0.3246153030705,0.2395149461340951
85,bert-base-japanese,10,0.24111951164767984,0.09860144363630496,0.049721402946604355,0.20588783589772403,0.38636507512874174,0.13522295955154187,0.41106245345205245,0.22753962072018963,0.3548825044242328,0.1435918834910677,0.3386355208539707,0.23316797431842223
86,bert-base-japanese,11,0.23860474394319506,0.09588681274069948,0.024803756767962037,0.20165347727442565,0.3870059383722736,0.13354234551102231,0.4002282904522874,0.23199319571595234,0.3630823343584977,0.14254167308830876,0.35172363843018156,0.238941313517017
87,bert-base-japanese,12,0.2530357193664226,0.09780633886243141,0.03396995578334321,0.21397156251413646,0.3930273745951915,0.14309395447754203,0.3763729553357677,0.2424911385673863,0.37789879830059914,0.15014972433991897,0.36581997281721595,0.24858204166558115
